Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,First time abs,Last time abs,Completion time,C first payload,S first payload,C last payload,S last payload,C first ack,S first ack,C Internal,S Internal,C anonymized,S anonymized,Connection type,P2P type,HTTP type,Average rtt C2S,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,Average rtt S2C,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,P2P subtype,ED2K Data,ED2K Signaling,ED2K C2S,ED2K C2C,ED2K Chat,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,
172.16.0.1,46230,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,16254.002,2.264,2.204,16250.053,16252.807,0.294,2.204,1,1,0,0,0,0,0,10.329871,0.252,39.941,18.259618,8,64,64,7.345933,0.015,39.917,16.068003,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46354,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,12654.452,2.532,2.475,12651.23,12653.004,0.448,2.475,1,1,0,0,0,0,0,10.357121,0.262,40.354,18.403685,8,64,64,7.380387,0.011,39.886,16.012516,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46480,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,12334.271,2.301,2.24,12329.978,12332.932,0.382,2.24,1,1,0,0,0,0,0,10.294246,0.206,39.812,18.198143,8,64,64,7.264843,0.018,39.551,15.844697,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46604,18,0,17,10,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,18448.922,2.46,2.368,13439.083,13441.923,0.307,2.368,1,1,0,0,0,0,0,10.388495,0.284,39.904,18.14582,8,64,64,10.810174,0.012,39.846,18.366632,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46728,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,13688.939,2.77,2.389,13685.109,13687.681,0.514,2.389,1,1,0,0,0,0,0,10.493619,0.355,40.509,18.447248,8,64,64,7.301479,0.014,39.496,15.915504,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46852,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,13369.004,3.071,2.358,13364.605,13367.512,0.403,2.358,1,1,0,0,0,0,0,10.41087,0.314,40.46,18.364127,8,64,64,7.250752,0.012,39.353,15.826519,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46944,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,12536.948,2.454,2.397,12533.001,12535.795,0.422,2.397,1,1,0,0,0,0,0,10.349621,0.247,40.037,18.315346,8,64,64,7.236843,0.018,39.666,15.821714,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,47068,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,12964.09,2.538,2.462,12959.997,12962.356,0.506,2.462,1,1,0,0,0,0,0,10.333996,0.218,40.387,18.366631,8,64,64,7.30357,0.01,39.297,15.815538,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,47192,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,13149.694,2.391,2.306,13146.408,13148.52,0.469,2.306,1,1,0,0,0,0,0,10.185623,0.158,39.615,18.140343,8,64,64,7.297025,0.019,39.761,15.918391,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,47316,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52013E+12,1.52013E+12,14674.611,2.512,2.427,14671.082,14673.361,0.396,2.427,1,1,0,0,0,0,0,10.355246,0.318,40.354,18.324418,8,64,64,7.332752,0.023,39.913,15.964368,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
