packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,packets2,RST sent2,ACK sent2,PURE ACK sent2,unique bytes2,data pkts2,data bytes2,rexmit pkts2,rexmit bytes2,out seq pkts2,SYN count2,FIN count2,Completion time,C first payload,S first payload,C last payload,S last payload,C first ack,S first ack,C Internal,S Internal,C anonymized,S anonymized,Connection type,P2P type,HTTP type,Average rtt C2S,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,Average rtt S2C,rtt min2,rtt max2,Stdev rtt2,rtt count2,ttl_min2,ttl_max2,P2P subtype,ED2K Data,ED2K Signaling,ED2K C2S,ED2K C2C,ED2K Chat,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,SYN seqno,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS2,max seg size2,min seg size2,win max2,win min2,win zero2,cwin max2,cwin min2,initial cwin2,rtx RTO2,rtx FR2,reordering2,net dup2,unknown2,flow control2,unnece rtx RTO2,unnece rtx FR2,SYN seqno2,httpignore,httpignore2,httpignore3,httpignore4,httpignore5,httpignore6,httpignore7,httpignore8
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,13804.857,1.963,1.859,13801.622,13803.576,0.182,1.859,1,1,0,0,0,0,0,10.231372,0.127,40.256,18.335769,8,64,64,7.356206,0.008,39.743,16.003548,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
16,0,15,8,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,13757.811,228.592,228.429,13754.917,13756.821,226.401,228.429,1,1,0,0,0,0,0,38.537268,0.144,226.377,78.003735,8,64,64,8.02362,0.017,39.84,16.587116,10,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2720,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
9604,0,9603,2,29161776,9601,31164360,1383,2002584,59,1,1,8339,0,8339,8337,0,0,0,0,0,0,1,1,3585.954,3.646,0,3578.154,0,0.26,3.892,1,1,0,0,0,0,0,0.16649,0.072,6.209,0.191209,5679,64,64,0.020999,0.015,0.027,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,46336,24,14720,14600,0,175208,24,13056,18,55,13,0,1096,0,2,258,0,1,1,7,1,1511,1460,0,0,1227904,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0
35421,0,35420,2,169622240,35417,179415064,6763,9792824,783,1,1,30647,0,30647,30645,0,0,0,0,0,0,1,1,20039.278,1.398,0,20018.674,0,0.47,1.778,1,1,0,0,0,0,0,0.205701,0.07,39.975,0.720113,15229,64,64,0.016499,0.015,0.018,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,673320,24,13056,121,460,244,0,4746,0,24,1951,0,1,1,7,1,6850,1460,0,0,1581312,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0
68782,0,68781,2,519861093,68778,541250952,14773,21389859,3170,1,1,58905,0,58905,58903,0,0,0,0,0,0,1,1,53123.962,0.536,0,53108.814,0,0.387,0.749,1,1,0,0,0,0,0,0.32987,0.068,160.402,2.123049,21673,64,64,0.018499,0.018,0.019,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,1207632,24,13056,333,656,435,0,8292,0,42,8185,0,1,1,7,1,12681,1460,0,0,2503168,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,11631.797,10.565,10.48,11627.71,11630.545,0.196,10.48,1,1,0,0,0,0,0,10.347246,0.184,40.441,18.333657,8,64,64,7.297297,0.012,39.66,15.908793,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
37016,0,37015,2,321041800,37013,334551640,9330,13509840,2177,1,1,31821,0,31821,31819,0,0,0,0,0,0,1,1,31205.276,1.19,0,31197.81,0,0.375,1.533,1,1,0,0,0,0,0,0.361394,0.079,182.801,2.508707,10206,64,64,0.016499,0.014,0.019,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,501008,24,13056,202,535,214,0,5549,0,30,4977,0,1,1,7,1,6301,1460,0,0,2247296,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,16,0,16,5,1704,9,1704,0,0,0,1,1,12362.265,5.251,5.15,12358.752,12360.836,0.472,5.15,1,1,0,0,0,0,0,10.456869,0.226,40.788,18.446858,8,64,64,7.893921,0.01,39.236,16.518012,10,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
69927,0,69926,2,587890349,69924,610587752,15676,22697403,4492,1,1,62756,0,62756,62754,0,0,0,0,0,0,1,1,56334.324,1.6,0,56324.058,0,0.393,1.937,1,1,0,0,0,0,0,0.365731,0.073,391.474,3.580304,20552,64,64,0.017499,0.013,0.022,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,1201840,24,13056,318,1265,305,0,8652,0,54,9574,0,1,1,7,1,13244,1460,0,0,2337152,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0
15568,0,15567,2,148047832,15565,153280904,3614,5233072,1381,1,1,13855,0,13855,13853,0,0,0,0,0,0,1,1,15323.827,10.647,0,15313.192,0,10.399,11.034,1,1,0,0,0,0,0,0.40099,0.085,40.651,1.915618,3665,64,64,0.019499,0.012,0.027,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,905000,24,13056,161,242,445,0,1809,0,15,2323,0,1,1,7,1,3231,1460,0,0,1992448,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,14871.508,2.744,2.674,14866.897,14870.483,0.538,2.674,1,1,0,0,0,0,0,10.42612,0.433,40.174,18.225549,8,64,64,7.317297,0.015,39.854,16.029862,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
45,0,44,2,131096,41,131096,0,0,0,1,1,30,0,30,28,0,0,0,0,0,0,1,1,18.977,1.288,0,3.851,0,0.279,1.547,1,1,0,0,0,0,0,0.521798,0.208,7.373,1.295011,30,64,64,0.016499,0.014,0.019,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,7240,24,14720,14600,0,17376,24,13056,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,0,0,92672,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,11958.547,2.699,2.602,11954.557,11957.512,0.505,2.602,1,1,0,0,0,0,0,10.525368,0.162,40.646,18.418094,8,64,64,7.258298,0.009,39.579,15.917273,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
64093,0,64092,2,582609440,64090,604940496,15422,22331056,3462,1,1,55279,0,55279,55277,0,0,0,0,0,0,1,1,49139.695,13.043,0,49138.205,0,12.813,13.359,1,1,0,0,0,0,0,0.395085,0.079,449.581,4.436357,17411,64,64,0.010499,0.007,0.014,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,24,14720,14600,0,1216320,24,13056,358,1670,699,0,7412,0,39,8706,0,1,1,7,1,11343,1460,0,0,2088064,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,0,0,0,0,0
17,0,16,9,452,6,452,0,0,0,1,1,17,0,17,5,2944,10,2944,0,0,0,1,1,13871.104,3.002,2.922,13867.636,13869.98,0.564,2.922,1,1,0,0,0,0,0,10.42487,0.261,40.477,18.406611,8,64,64,7.203207,0.008,39.317,15.774202,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0
76062,0,76061,2,656580296,76059,680383744,16439,23803448,4708,1,2,64266,0,64266,64264,0,0,0,0,0,0,1,1,54336.266,0.853,0,54331.17,0,0.346,1.103,1,1,0,0,0,0,0,0.337701,0.079,99.058,2.184067,22837,64,64,0.022499,0.014,0.031,0,2,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,65160,8,14720,14600,0,912240,24,13056,606,842,788,0,9940,0,46,8925,0,1,1,7,1,12834,1460,0,0,2276352,14480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077,0,0,0,0,0
