Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,First time abs,Last time abs,Completion time,C first payload,S first payload,C last payload,S last payload,C first ack,S first ack,C Internal,S Internal,C anonymized,S anonymized,Connection type,P2P type,HTTP type,Average rtt C2S,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,Average rtt S2C,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,P2P subtype,ED2K Data,ED2K Signaling,ED2K C2S,ED2K C2C,ED2K Chat,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,
172.16.0.1,38578,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,12507.038,24.673,24.536,12503.301,12505.792,1.023,24.536,1,1,0,0,0,0,0,10.518494,0.392,40.681,18.38379,8,64,64,7.310115,0.013,39.79,15.952971,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,38702,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,13451.813,3.168,3.087,13445.874,13448.814,1.247,3.087,1,1,0,0,0,0,0,10.542368,0.384,40.262,18.299174,8,64,64,7.414296,0.017,39.361,15.782654,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,38826,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,12339.88,3.202,3.134,12334.638,12337.749,1.216,3.134,1,1,0,0,0,0,0,10.565868,0.308,40.033,18.179942,8,64,64,7.319024,0.013,39.687,15.987926,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,38950,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,11266.903,7.489,7.313,11263.301,11265.738,1.229,7.313,1,1,0,0,0,0,0,10.40712,0.295,39.904,18.15627,8,64,64,7.341751,0.023,40.013,16.030752,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39074,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,13392.093,3.249,3.185,13387.306,13390.76,1.079,3.185,1,1,0,0,0,0,0,10.604117,0.303,40.496,18.377398,8,64,64,7.244752,0.013,39.377,15.830981,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39198,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,13680.993,2.99,2.927,13677.652,13679.774,1.037,2.927,1,1,0,0,0,0,0,10.404745,0.193,40.034,18.278449,8,64,64,7.337388,0.014,39.867,15.999082,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39292,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,14544.103,3.401,3.323,14539.921,14542.811,1.152,3.323,1,1,0,0,0,0,0,10.575118,0.454,40.562,18.37582,8,64,64,7.286116,0.015,39.506,15.901185,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39416,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,14328.325,3.281,3.169,14323.932,14327.021,1.19,3.169,1,1,0,0,0,0,0,10.613742,0.351,40.521,18.403796,8,64,64,7.291934,0.013,39.8,15.912405,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39540,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,12546.533,2.868,2.79,12540.992,12544.452,1.022,2.79,1,1,0,0,0,0,0,10.619242,0.285,40.285,18.189173,8,64,64,7.241389,0.014,39.494,15.909104,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,39664,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52E+12,1.52E+12,13915.47,2.742,2.679,13911.376,13914.181,0.898,2.679,1,1,0,0,0,0,0,10.42287,0.287,40.322,18.313156,8,64,64,7.23248,0.016,39.218,15.799182,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
