Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,First time abs,Last time abs,Completion time,C first payload,S first payload,C last payload,S last payload,C first ack,S first ack,C Internal,S Internal,C anonymized,S anonymized,Connection type,P2P type,HTTP type,Average rtt C2S,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,Average rtt S2C,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,P2P subtype,ED2K Data,ED2K Signaling,ED2K C2S,ED2K C2C,ED2K Chat,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,
172.16.0.1,42440,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,4,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,15042.839,43.065,32.872,14989.975,15011.578,20.613,32.872,1,1,0,0,0,0,0,14.406445,8.869,42.823,11.504109,8,64,64,16.499395,8.884,49.728,14.539461,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,42696,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,13383.622,40.871,30.76,13319.743,13352.505,20.626,30.76,1,1,0,0,0,0,0,19.513631,10.525,50.364,16.60693,8,64,64,16.606213,1.827,49.652,16.527173,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,42946,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,19,0,19,7,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,14430.794,41.44,31.36,14368.352,14399.828,20.799,31.36,1,1,0,0,0,0,0,20.559118,10.452,50.474,18.425855,8,64,64,17.643924,6.784,49.628,16.801758,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,1,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,43170,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,13846.093,33.265,23.129,13783.615,13815.159,20.565,23.129,1,1,0,0,0,0,0,18.257022,0.537,50.627,17.810409,8,64,64,17.295752,9.232,50.19,16.157892,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,43428,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,4,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,13730.904,41.623,31.418,13668.566,13699.934,20.548,31.418,1,1,0,0,0,0,0,13.315709,1.652,41.334,11.745631,8,64,64,16.405236,1.008,49.967,16.077074,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,43684,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,14346.628,33.165,22.945,14293.528,14315.923,10.517,22.945,1,1,0,0,0,0,0,18.009525,0.494,50.706,20.552892,8,64,64,17.95222,8.249,50.196,16.957054,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,1,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,43908,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,4,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,15558.664,41.401,31.248,15496.276,15527.699,20.616,31.248,1,1,0,0,0,0,0,14.38682,0.744,49.944,14.789242,8,64,64,17.97932,9.996,49.449,16.580063,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2720,16,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,44158,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,19,0,19,7,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,14523.927,40.676,32.036,14461.422,14492.994,19.55,32.036,1,1,0,0,0,0,0,18.292146,10.462,42.064,14.174319,8,64,64,16.832932,8.64,50.11,15.042107,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,1,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,44414,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,13716.61,37.01,27.036,13653.198,13685.429,20.571,27.036,1,1,0,0,0,0,0,18.270147,2.108,50.734,17.302612,8,64,64,15.365846,0.895,49.858,18.517925,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,1,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,44640,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,12073.481,31.2,31,12011.675,12042.741,20.561,31,1,1,0,0,0,0,0,19.394133,10.17,50.741,16.574229,8,64,64,15.432587,0.2,50.107,15.066624,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,44896,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,19,0,19,7,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,14796.346,32.005,22.803,14733.891,14766.678,10.526,22.803,1,1,0,0,0,0,0,18.311396,0.464,49.925,17.587456,8,64,64,15.855841,8.494,41.682,13.292628,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,1,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45024,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,13706.248,32.751,22.628,13644.988,13675.405,10.545,22.628,1,1,0,0,0,0,0,20.288621,9.43,50.364,18.412269,8,64,64,16.504668,0.024,50.059,16.853932,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45088,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,12715.788,42.362,32.23,12663.632,12685.198,19.921,32.23,1,1,0,0,0,0,0,18.907514,0.799,50.249,18.80463,8,64,64,16.726833,4.441,50.212,17.687554,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2720,16,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45146,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,12376.591,39.229,28.918,12313.583,12346.12,17.999,28.918,1,1,0,0,0,0,0,17.897276,0.676,50.331,20.221944,8,64,64,13.806147,1.424,41.414,13.530161,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45226,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,4,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,12886.588,32.753,22.574,12824.46,12855.805,10.525,22.574,1,1,0,0,0,0,0,11.9971,0.458,41.645,12.825271,8,64,64,17.320843,9.972,49.86,16.086556,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45290,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,13187.284,32.982,24.923,13132.8,13165.501,12.376,24.923,1,1,0,0,0,0,0,15.365808,0.56,50.921,20.17909,8,64,64,15.546222,0.599,49.659,15.214294,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45354,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,12579.352,27.908,17.755,12516.21,12549.378,5.344,17.755,1,1,0,0,0,0,0,17.517781,2.076,50.263,17.744826,8,64,64,14.709684,0.033,49.49,15.451994,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45418,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,15078.71,40.889,30.663,15016.139,15048.544,20.452,30.663,1,1,0,0,0,0,0,17.020412,0.487,50.368,18.648088,8,64,64,16.143039,0.515,50.068,18.011336,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,1,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45476,18,0,17,10,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,13333.279,43.193,33.053,13270.62,13302.364,20.626,33.053,1,1,0,0,0,0,0,19.401007,9.291,50.658,16.650546,8,64,64,17.006936,8.681,49.399,16.011939,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2688,1,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45542,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,12473.653,42.966,32.83,12411.081,12442.904,20.449,32.83,1,1,0,0,0,0,0,19.290259,10.253,50.693,16.396759,8,64,64,16.590849,3.491,49.557,16.385862,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45606,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,15315.449,30.895,22.93,15252.801,15284.482,10.541,22.93,1,1,0,0,0,0,0,18.019025,0.515,50.439,20.346864,8,64,64,16.922931,7.965,50.287,15.112662,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2720,16,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45670,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,4,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,13761.713,37.687,27.425,13697.748,13730.739,20.522,27.425,1,1,0,0,0,0,0,15.717679,10.42,50.84,14.194238,8,64,64,15.9944,2.862,49.958,14.970904,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45734,18,0,17,10,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,14377.057,22.796,12.632,14322.729,14354.322,10.456,12.632,1,1,0,0,0,0,0,16.712791,0.413,50.017,18.123414,8,64,64,15.909128,1.894,49.985,14.979738,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2688,1,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45792,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,12252.141,35.701,25.479,12190.088,12222.411,13.238,25.479,1,1,0,0,0,0,0,18.178773,0.701,50.503,17.66989,8,64,64,16.427032,2.803,50.315,16.703388,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45858,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,15070.075,40.697,32.783,15007.629,15039.169,20.477,32.783,1,1,0,0,0,0,0,20.554868,10.431,50.441,18.369272,8,64,64,15.36286,1.206,49.904,15.026347,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45922,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,12978.514,41.655,31.347,12914.614,12947.124,20.661,31.347,1,1,0,0,0,0,0,16.961163,0.488,50.456,18.186435,8,64,64,16.654333,0.278,50.302,17.982105,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,1,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,45986,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,19,0,19,7,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,12383.158,36.921,32.678,12320.895,12353.365,20.633,32.678,1,1,0,0,0,0,0,18.206147,0.461,49.89,17.677921,8,64,64,16.514635,2.037,49.973,17.726011,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,1,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46050,18,0,17,10,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,15957.914,43.483,33.235,15905.029,15926.563,20.858,33.235,1,1,0,0,0,0,0,19.137136,8.93,49.994,16.343952,8,64,64,16.332124,0.137,50.295,16.858422,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2688,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46108,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,14500.166,38.636,28.385,14446.3,14469.198,17.85,28.385,1,1,0,0,0,0,0,16.792915,1.707,42.097,15.440661,8,64,64,15.868441,6.638,41.021,13.282808,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46174,18,0,17,10,452,6,452,0,0,0,1,1,172.16.0.2,861,19,0,19,7,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,14852.434,43.128,33.086,14790.112,14821.814,20.472,33.086,1,1,0,0,0,0,0,17.008912,0.602,50.346,18.610085,8,64,64,16.502486,9.395,49.979,14.660855,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,2688,1,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46238,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,4,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,13364.768,33.376,23.29,13302.654,13335.041,10.886,23.29,1,1,0,0,0,0,0,14.171948,0.798,50.318,15.000083,8,64,64,16.329488,8.191,49.689,14.655794,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46302,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,19,0,19,7,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,13484.288,34.899,26.437,13429.505,13462.216,14.057,26.437,1,1,0,0,0,0,0,19.688504,3.082,50.44,19.139431,8,64,64,16.210238,1.134,49.716,17.911774,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,1,64,0,0,0,0,1,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46366,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,14742.075,31.175,22.361,14678.506,14710.973,10.397,22.361,1,1,0,0,0,0,0,16.741041,0.372,50.608,21.345803,8,64,64,17.789822,8.814,50.14,16.879038,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46424,19,0,18,11,452,6,452,0,0,0,1,1,172.16.0.2,861,18,0,18,6,2944,10,2944,0,0,1,1,1,1.52053E+12,1.52053E+12,12645.498,42.92,32.765,12584.058,12615.944,20.629,32.765,1,1,0,0,0,0,0,20.381995,9.873,49.959,18.232919,8,64,64,16.763432,6.977,49.833,15.395046,10,64,64,0,0,0,0,0,0,1,1,7,1,1,1460,164,16,17536,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,1,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,46490,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52053E+12,1.52053E+12,13384.255,38.302,28.146,13342.696,13362.197,20.451,28.146,1,1,0,0,0,0,0,18.540268,2.849,49.875,19.58474,8,64,64,14.056145,0.092,49.747,18.029392,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
