Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,Client/Server IP addr,Client/Server TCP port,packets,RST sent,ACK sent,PURE ACK sent,unique bytes,data pkts,data bytes,rexmit pkts,rexmit bytes,out seq pkts,SYN count,FIN count,First time abs,Last time abs,Completion time,C first payload,S first payload,C last payload,S last payload,C first ack,S first ack,C Internal,S Internal,C anonymized,S anonymized,Connection type,P2P type,HTTP type,Average rtt C2S,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,Average rtt S2C,rtt min,rtt max,Stdev rtt,rtt count,ttl_min,ttl_max,P2P subtype,ED2K Data,ED2K Signaling,ED2K C2S,ED2K C2C,ED2K Chat,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,RFC1323 ws,RFC1323 ts,window scale,SACK req,SACK sent,MSS,max seg size,min seg size,win max,win min,win zero,cwin max,cwin min,initial cwin,rtx RTO,rtx FR,reordering,net dup,unknown,flow control,unnece rtx RTO,unnece rtx FR,!= SYN seqno,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,httpignore,
172.16.0.1,36490,15,0,14,8,288,5,288,0,0,0,1,1,172.16.0.2,861,16,0,16,5,2880,9,2880,0,0,0,1,1,1.52045E+12,1.52045E+12,14152.322,43.846,2.228,14148.555,14151.254,0.207,2.084,1,1,0,0,0,0,0,11.756689,0.196,40.073,19.280389,7,64,64,8.01462,0.011,39.521,16.590746,10,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,112,16,20480,14600,0,112,16,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,32,0,0,0,0,0,0,0,0,0,0,0,---,5,8,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,36740,15,0,14,7,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,5,2944,9,2944,0,0,0,1,1,1.52045E+12,1.52045E+12,13410.092,2.521,2.425,13406.323,13408.613,0.495,2.425,1,1,0,0,0,0,0,10.40387,0.426,40.294,18.13585,8,64,64,4.567505,0.017,39.526,13.113327,9,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,8,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,36998,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2960,10,2960,0,0,0,1,1,1.52045E+12,1.52045E+12,14650.855,2.199,2.111,14647.064,14649.545,0.37,2.111,1,1,0,0,0,0,0,10.475744,0.334,40.383,18.40659,8,64,64,7.355842,0.014,39.703,15.982043,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,37222,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,16,0,16,4,2944,10,2944,0,0,0,1,1,1.52045E+12,1.52045E+12,15994.316,2.5,2.415,15991.509,15993.051,0.401,2.415,1,1,0,0,0,0,0,10.520868,0.306,40.292,18.316269,8,64,64,7.372569,0.016,39.772,15.991443,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,37478,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2992,10,2992,0,0,0,1,1,1.52045E+12,1.52045E+12,13009.903,2.548,2.347,13006.532,13008.708,0.449,2.347,1,1,0,0,0,0,0,10.198123,0.226,39.735,18.165068,8,64,64,7.283025,0.013,39.673,15.894312,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,37734,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52045E+12,1.52045E+12,14757.287,5.119,2.387,14753.742,14756.082,0.526,2.387,1,1,0,0,0,0,0,10.42137,0.241,40.634,18.378509,8,64,64,7.316388,0.004,39.771,15.976987,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,37952,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52045E+12,1.52045E+12,13731.999,2.28,2.219,13727.108,13729.496,0.427,2.219,1,1,0,0,0,0,0,10.329121,0.309,40.016,18.20986,8,64,64,7.425932,0.012,39.797,15.877,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,38210,17,0,16,9,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1.52045E+12,1.52045E+12,13142.088,2.374,2.257,13137.463,13139.812,0.444,2.257,1,1,0,0,0,0,0,10.413745,0.291,40.265,18.125855,8,64,64,7.345388,0.017,39.893,16.034529,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,38438,16,0,15,8,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,2960,10,2960,0,0,0,1,1,1.52045E+12,1.52045E+12,13523.377,2.568,2.461,13520.068,13522.231,0.499,2.461,1,1,0,0,0,0,0,10.334246,0.397,40.018,18.207959,8,64,64,4.113459,0.014,39.918,12.582191,10,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
172.16.0.1,38690,16,0,15,8,452,6,452,0,0,0,1,1,172.16.0.2,861,17,0,17,5,3008,10,3008,0,0,0,1,1,1.52045E+12,1.52045E+12,14814.57,2.641,2.516,14811.525,14813.416,0.474,2.516,1,1,0,0,0,0,0,10.343121,0.371,40.322,18.29968,8,64,64,7.450296,0.016,39.692,15.789119,11,64,64,0,0,0,0,0,0,1,1,7,1,0,1460,164,16,20480,14600,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,1448,16,15616,14480,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,-
