c_rtt_min:46,s_rtt_min:53,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106
0.056000,26.215000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,1,0,0
0.058000,26.060000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.075000,26.412000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,1,0,0
0.018000,36.101000,17,47104,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.029000,26.233000,17,47104,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.033000,36.070000,17,47104,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.053000,26.112000,17,47104,42340,0,4303,1,343,0,0,0,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0
10.025000,26.398000,17,47104,42340,0,1369,55,343,0,0,1,0,1,888,51200,43440,0,1018,1,888,0,0,0,0,0
0.343000,26.444000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.202000,26.580000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.062000,26.638000,38,47104,42340,0,13070,1,343,0,1,3,0,1,888,88064,43440,0,1018,1,888,0,0,0,0,0
0.045000,26.171000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,2720,1,64,0,0,1,0,0
0.009000,28.013000,38,47104,42340,0,764544,343,343,5,1174,9564,0,83,888,3569664,43440,0,1018,1,888,0,0,0,0,0
0.008000,26.113000,38,47104,42340,0,524176,1,343,16,1971,8278,0,79,888,1679360,43440,0,1018,1,888,0,0,0,0,0
0.007000,26.166000,38,47104,42340,0,492320,343,343,60,1445,8083,0,67,888,1923072,43440,0,1018,1,888,0,0,0,0,0
0.009000,29.363000,38,47104,42340,0,744272,343,343,12,1914,9929,0,95,888,2359296,43440,0,1018,1,888,0,0,0,0,0
0.016000,27.195000,17,47104,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.035000,27.231000,17,47104,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.016000,29.427000,17,47104,42340,0,15002,343,343,0,2,4,0,7,888,120832,43440,0,1018,1,888,0,0,0,0,0
0.019000,27.310000,17,47104,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.389000,25.956000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,1,0,0
0.994000,27.554000,17,47104,42340,0,1369,55,343,0,0,1,0,0,888,51200,43440,0,1018,1,888,0,0,0,0,0
2.226000,28.082000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
1.181000,27.070000,17,47104,42340,0,1369,17,343,0,0,1,0,0,888,51200,43440,0,1018,1,888,0,0,0,0,0
0.206000,36.143000,17,47104,42340,0,10276,1,343,0,0,3,0,0,888,73728,43440,0,1018,1,888,0,0,0,0,0
0.008000,26.299000,38,47104,42340,0,2215440,343,343,755,3213,20376,0,334,888,5810176,38912,0,1018,1,888,0,0,0,0,0
0.008000,25.973000,38,47104,42340,0,5242880,38,343,334,2606,32067,0,3571,888,12570624,43440,0,1018,1,888,0,0,0,0,0
0.008000,26.201000,38,47104,42340,0,3911072,38,343,366,3555,25199,0,521,888,15362048,43440,0,1018,1,888,0,0,0,0,0
0.008000,30.193000,38,47104,42340,0,2236416,343,343,295,3526,21365,0,525,888,8103936,43440,0,1018,1,888,0,0,0,0,0
0.009000,26.090000,38,47104,42340,0,2115528,343,343,766,4369,26497,0,468,888,6656000,36864,0,1018,1,888,0,0,0,0,0
0.008000,26.302000,38,47104,42340,0,1889640,38,343,129,3576,23967,0,495,888,4009984,43440,0,1018,1,888,0,0,0,0,0
0.009000,26.296000,38,47104,42340,0,891968,343,343,191,3213,21656,0,107,888,2580480,14336,0,1018,1,888,0,0,0,0,0
0.008000,27.122000,38,47104,42340,0,543000,38,343,50,2800,19136,0,30,888,2027520,43440,0,1018,1,888,0,0,0,0,0
0.131000,26.008000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
6.621000,25.848000,17,47104,42340,0,1369,1,343,0,0,1,0,0,888,51200,43440,0,1018,1,888,0,0,0,0,0
0.040000,26.098000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,51200,43440,0,1018,1,888,0,0,0,0,0
0.025000,36.036000,17,47104,42340,0,5320,17,343,0,0,3,0,3,888,61440,43440,0,1018,1,888,0,0,0,0,0
10.042000,36.003000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.011000,26.180000,38,47104,42340,0,1824480,1,343,5,554,4027,0,362,888,4055040,38912,0,1018,1,888,0,0,0,0,0
0.012000,26.275000,38,47104,42340,0,3062520,1,343,642,1056,5755,0,1089,888,7415808,43440,0,1018,1,888,0,0,0,0,0
0.009000,26.190000,38,47104,42340,0,3269584,38,343,97,1227,5617,0,759,888,12482560,43440,0,1018,1,888,0,0,0,0,0
0.010000,26.342000,38,47104,42340,0,7924904,1,343,1699,601,5269,0,3504,888,16777216,43440,0,1018,1,888,0,0,0,0,0
0.201000,25.987000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,1,0,1
0.052000,26.236000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,1,0,0
0.127000,26.240000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,1,0,0
0.090000,26.142000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,1,64,0,0,1,0,0
1.118000,26.683000,17,47104,42340,0,4303,38,343,0,0,1,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0
6.069000,35.435000,17,47104,42340,0,1369,55,343,0,0,1,0,0,888,51200,43440,0,1018,1,888,0,0,0,0,0
5.734000,27.582000,17,47104,42340,0,1369,55,343,0,0,1,0,0,888,51200,43440,0,1018,1,888,0,0,0,0,0
1.371000,33.813000,17,47104,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.009000,35.904000,38,47104,42340,0,3714120,38,343,1284,2331,5969,0,30,888,6404096,43440,0,1018,1,888,0,0,0,0,0
0.008000,26.161000,38,47104,42340,0,2136064,343,343,0,2229,9966,0,209,888,3803136,38912,0,1018,1,888,0,0,0,0,0
0.009000,26.156000,38,47104,42340,0,6385680,343,343,972,6798,21166,0,3792,888,10932224,43440,0,1018,1,888,0,0,0,0,0
0.010000,26.087000,38,47104,42340,0,4887000,343,343,777,3929,15657,0,305,888,9844736,43440,0,1018,1,888,0,0,0,0,0
0.129000,26.142000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.091000,26.388000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.060000,26.338000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,1,0,0
0.074000,26.096000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.070000,26.111000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.080000,25.936000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.191000,0.651000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.032000,0.255000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.047000,10.362000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.062000,25.915000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.048000,0.332000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.172000,0.380000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.052000,0.351000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.074000,10.474000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.119000,26.053000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.052000,0.419000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.054000,0.274000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
10.077000,10.272000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
10.089000,0.332000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
10.066000,0.349000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.214000,0.278000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.039000,0.323000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.080000,26.222000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.081000,0.365000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.051000,0.269000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.072000,0.328000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
10.074000,0.426000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.030000,0.166000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.060000,10.219000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.058000,0.271000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.044000,10.228000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.212000,0.313000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.070000,0.289000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.058000,26.064000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.155000,0.203000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
10.059000,0.502000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
10.068000,0.312000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.062000,0.546000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.045000,0.154000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.077000,0.295000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.125000,10.233000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.063000,0.166000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
10.079000,0.219000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.060000,0.326000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.066000,0.188000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.043000,10.410000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.054000,0.181000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.042000,0.337000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.247000,0.507000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.058000,0.655000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.034000,0.358000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.081000,0.588000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.068000,0.405000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.097000,10.321000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.061000,0.365000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.051000,0.401000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.150000,26.175000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
10.093000,0.268000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.096000,0.269000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.075000,0.410000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.110000,0.309000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.029000,0.397000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
