#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131
172.16.1.200,56856,17,0,16,9,452,6,452,0,0,0,1,1,172.16.1.1,861,18,0,18,6,2944,10,2944,0,0,0,1,1,1529413906210.842041,1529413919175.857910,12965.016000,94.515000,58.239000,12823.512000,12882.006000,46.737000,58.239000,1,1,0,0,0,0,0,20.045124,10.146000,49.714000,18.261639,8,64,64,43.346060,36.001000,75.518000,15.682567,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,48436,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50778,7,0,7,3,1906,2,1906,0,0,0,1,1,1529413934370.818115,1529413934611.917969,241.100000,47.507000,58.867000,155.546000,118.202000,46.706000,56.630000,1,1,0,0,8192,0,0,11.074779,9.123000,16.120000,2.848415,5,64,64,36.711332,36.362000,37.310000,0.420013,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,102.082000,118.202000,155.512000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,48438,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50778,7,0,7,3,1906,2,1906,0,0,0,1,1,1529413934370.783936,1529413934611.958008,241.174000,47.019000,58.552000,155.574000,118.234000,46.719000,57.077000,1,1,0,0,8192,0,0,11.265175,10.026000,16.094000,2.699347,5,64,64,36.800330,36.332000,37.332000,0.414646,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,102.140000,118.234000,155.566000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,48432,10,0,9,3,6032,5,6032,0,0,0,1,1,172.16.1.1,50778,8,0,8,4,1906,2,1906,0,0,0,1,1,1529413934370.663086,1529413934611.968018,241.305000,46.692000,57.849000,155.705000,99.855000,46.447000,56.812000,1,1,0,0,8192,0,0,15.203080,3.048000,47.845000,16.236755,6,64,64,36.314842,36.189000,36.525000,0.149487,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,4265,17,47104,42340,0,4303,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,57344,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,96.807000,99.855000,136.380000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,48434,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50778,7,0,7,3,1906,2,1906,0,0,0,1,1,1529413934370.802979,1529413934611.976074,241.173000,47.482000,58.139000,155.596000,118.203000,46.674000,57.550000,1,1,0,0,8192,0,0,11.301974,10.015000,16.151000,2.712067,5,64,64,36.846829,36.274000,37.260000,0.475621,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,102.052000,118.203000,155.463000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,38192,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50240,8,0,8,4,1906,2,1906,0,0,0,1,1,1529413942399.863037,1529413942705.906982,306.044000,46.420000,56.891000,219.499000,112.663000,46.032000,56.483000,1,1,0,0,8192,0,0,15.233246,0.078000,46.830000,16.180923,6,64,64,36.070848,35.967000,36.251000,0.131152,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,98.357000,112.663000,148.914000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,38194,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50240,8,0,8,4,1906,2,1906,0,0,0,1,1,1529413942399.900879,1529413942705.943115,306.042000,46.901000,57.693000,219.475000,112.636000,46.111000,56.919000,1,1,0,0,8192,0,0,16.887219,10.018000,46.815000,14.759208,6,64,64,36.352841,36.070000,36.892000,0.368934,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,98.342000,112.636000,149.528000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,38188,12,0,11,3,7922,7,7922,0,0,0,1,1,172.16.1.1,50240,10,0,10,6,1906,2,1906,0,0,0,1,1,1529413942399.757080,1529413942706.275879,306.519000,36.701000,47.286000,219.587000,88.992000,36.384000,46.761000,1,1,0,0,8192,0,0,12.744966,0.067000,48.717000,15.059939,8,64,64,36.327342,36.156000,36.546000,0.161642,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,5265,17,47104,42340,0,5303,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,61440,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,7,2,-,-,0,0,0,86.078000,88.992000,125.538000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,38190,11,0,10,4,1784,5,1784,0,0,0,1,1,172.16.1.1,50240,8,0,8,4,1906,2,1906,0,0,0,1,1,1529413942399.842041,1529413942706.291016,306.449000,46.937000,56.493000,219.513000,96.954000,46.150000,56.493000,1,1,0,0,8192,0,0,13.461442,2.116000,46.824000,16.778676,6,64,64,36.336342,36.091000,36.495000,0.173017,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,94.774000,96.954000,133.449000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,57776,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50678,7,0,7,3,1906,2,1906,0,0,0,1,1,1529413943550.232910,1529413943818.300049,268.067000,46.407000,56.893000,146.816000,110.370000,45.943000,56.532000,1,1,0,0,8192,0,0,11.111978,10.028000,15.201000,2.286581,5,64,64,36.180095,35.828000,36.559000,0.363469,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,95.169000,110.370000,146.792000,0.000000,1713,0,-,-,0.0,0.0,-
