c_rtt_min:46,s_rtt_min:53,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106
0.089000,25.655000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.090000,25.905000,16,49152,42340,0,164,16,164,0,0,0,0,1,16,45056,43440,0,1480,1,64,0,0,0,0,0
0.070000,26.082000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,1,0,0,0
0.056000,25.830000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.031000,25.998000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.012000,25.875000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.020000,25.800000,17,47104,42340,0,4303,38,343,0,0,0,0,2,888,59392,43440,0,1018,1,888,0,0,0,0,0
0.025000,25.722000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,1,0,0,0,0
0.056000,25.893000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.020000,25.643000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.010000,25.952000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.012000,25.870000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.012000,25.943000,17,47104,42340,0,13070,17,343,0,0,0,0,0,888,88064,43440,0,1018,1,888,0,0,0,0,0
0.029000,25.652000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.028000,25.664000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.028000,25.888000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.014000,25.571000,17,47104,42340,0,8143,17,343,0,0,0,0,0,888,63488,43440,0,1018,1,888,0,0,0,0,0
0.032000,25.815000,17,86712320,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.012000,25.903000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.009000,25.730000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.015000,25.707000,17,47104,42340,0,14480,1,343,1,0,0,0,0,888,106496,43440,0,1018,888,888,0,0,0,0,0
0.030000,25.664000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.028000,25.875000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.046000,25.824000,16,49152,42340,0,164,1,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,1,0,0,0,0
0.057000,25.738000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.051000,25.701000,16,49152,42340,0,164,16,164,1,0,0,0,0,16,45056,43440,0,1480,1,64,0,0,0,0,0
0.008000,25.923000,38,47104,42340,0,43440,38,343,41,84,38,0,140,888,186368,43440,0,1018,888,888,0,0,0,0,0
0.008000,25.902000,38,47104,42340,0,329936,38,343,61,58,93,0,103,888,3430400,6144,0,1018,888,888,0,0,0,0,0
0.007000,25.808000,38,47104,42340,0,44888,38,343,45,67,76,0,106,888,186368,43440,0,1018,888,888,0,0,0,0,0
0.008000,25.818000,38,47104,42340,0,39096,38,343,46,75,97,0,101,888,307200,43440,0,1018,888,888,0,0,0,0,0
0.058000,26.010000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.057000,25.714000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.009000,25.692000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.024000,25.835000,17,47104,42340,0,1369,17,343,1,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.024000,25.753000,17,47104,42340,0,5303,17,343,0,0,0,0,0,888,61440,43440,0,1018,1,888,0,0,0,0,0
0.010000,25.884000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.055000,25.851000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.046000,25.701000,16,49152,42340,0,164,32,164,1,0,0,0,0,16,47104,43440,0,1480,16,64,0,0,0,0,0
0.059000,25.935000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.076000,25.585000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.061000,25.900000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.043000,25.854000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.075000,25.933000,16,49152,42340,0,164,32,164,1,0,0,0,0,16,47104,43440,0,1480,16,64,0,0,0,0,0
0.048000,25.652000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.042000,25.934000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.051000,25.654000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.057000,25.700000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.053000,25.690000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.031000,25.683000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.066000,25.905000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.049000,25.875000,16,49152,42340,0,164,32,164,1,0,0,0,0,16,47104,43440,0,1480,16,64,0,0,0,0,0
0.007000,25.696000,17,47104,42340,0,53576,17,343,161,242,165,0,487,888,534528,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.880000,17,47104,42340,0,56472,17,343,153,308,166,0,462,888,395264,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.898000,38,47104,42340,0,209960,38,343,197,247,166,0,534,888,2179072,40960,0,1018,1,888,0,0,0,0,0
0.007000,25.995000,17,47104,42340,0,52128,17,343,188,246,138,0,387,888,186368,43440,0,1018,1,888,0,0,0,0,0
0.062000,26.062000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
