c_rtt_min:46,s_rtt_min:53,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106
0.073000,25.985000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.071000,25.968000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.011000,25.977000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.011000,26.258000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.015000,26.216000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.021000,25.985000,17,47104,42340,0,4303,17,343,0,0,0,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0
0.011000,25.732000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.011000,25.729000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.021000,25.756000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.011000,26.006000,38,47104,42340,0,5792,38,343,0,0,0,0,0,888,88064,43440,0,1018,1,888,0,0,0,0,0
0.078000,25.970000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,2752,16,64,0,0,0,0,0
0.007000,25.684000,38,47104,42340,0,2156072,38,343,38,563,1617,266,171,888,9322496,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.975000,38,47104,42340,0,1587008,38,343,2,443,1576,117,102,888,6533120,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.682000,38,47104,42340,0,3320264,38,343,34,542,1616,307,180,888,16777216,43440,0,1018,1,888,0,0,0,0,0
0.008000,25.919000,38,47104,42340,0,2022856,38,343,4,450,1571,227,71,888,6897664,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.965000,38,47104,42340,0,2461600,38,343,3,399,1427,198,49,888,4216832,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.767000,38,47104,42340,0,7707704,38,343,52,390,1283,362,270,888,16777216,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.921000,38,47104,42340,0,2211096,38,343,9,447,1481,195,155,888,7815168,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.707000,38,47104,42340,0,3647512,38,343,85,459,1581,329,394,888,14063616,43440,0,1018,1,888,0,0,0,0,0
0.018000,25.808000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.015000,25.819000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.021000,25.951000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.027000,25.838000,17,47104,42340,0,5367,17,343,0,0,0,0,0,888,69632,43440,0,1018,1,888,0,0,0,0,0
0.009000,25.714000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.008000,25.940000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.011000,25.736000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.009000,25.762000,17,47104,42340,0,8688,17,343,0,0,0,1,0,888,126976,43440,0,1018,1,888,0,0,0,0,0
0.007000,26.133000,38,47104,42340,0,2997360,38,343,76,927,2487,1320,1797,888,11581440,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.903000,8,47104,42340,0,3192832,38,343,21,1190,1878,806,2242,888,16373760,43440,0,1018,1,888,0,0,0,0,0
0.007000,26.194000,38,47104,42340,0,1681408,38,343,28,600,1939,353,296,888,3796992,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.968000,24,47104,42340,0,5537152,38,343,101,876,2926,632,4045,888,10373120,43440,0,1018,1,888,0,0,0,0,0
0.016000,26.000000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.015000,26.144000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.025000,25.945000,17,47104,42340,0,5303,17,343,0,0,0,0,0,888,61440,43440,0,1018,1,888,0,0,0,0,0
0.010000,26.154000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.031000,26.028000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.007000,25.904000,38,47104,42340,0,4235400,38,343,16,789,2086,1303,3489,888,11612160,43440,0,1018,1,888,0,0,0,0,0
0.007000,26.060000,38,47104,42340,0,1728340,38,343,113,797,1476,985,1802,888,2164736,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.867000,38,47104,42340,0,4387280,38,343,739,1020,1594,900,2680,888,10733568,43440,0,1018,1,888,0,0,0,0,0
0.007000,26.093000,38,47104,42340,0,3084240,38,343,112,713,1398,684,1818,888,4622336,43440,0,1018,1,888,0,0,0,0,0
0.054000,25.967000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.011000,26.004000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.019000,26.196000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.012000,25.965000,17,47104,42340,0,4303,17,343,0,0,0,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0
0.014000,26.132000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.076000,26.245000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,2816,16,64,0,0,0,0,0
0.008000,26.057000,38,47104,42340,0,2801880,38,343,111,1109,1661,965,1577,888,6891520,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.898000,38,47104,42340,0,5734080,38,343,548,1180,1681,1840,4456,888,15368192,43440,0,1018,1,888,0,0,0,0,0
0.007000,25.997000,38,47104,42340,0,2997360,38,343,524,980,1373,1008,2487,888,7292928,43440,0,1018,1,888,0,0,0,0,0
0.008000,26.216000,38,47104,42340,0,1816576,38,343,26,827,1743,752,1585,888,5185536,43440,0,1018,1,888,0,0,0,0,0
0.038000,25.721000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.079000,26.065000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.058000,0.310000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.038000,0.434000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.057000,26.060000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.036000,0.207000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.037000,0.239000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.025000,0.270000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.040000,0.221000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.034000,0.169000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.016000,0.359000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.031000,0.247000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.046000,25.976000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,2752,16,64,0,0,0,0,0
0.061000,0.144000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.040000,0.254000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.047000,0.166000,1104,45056,42340,0,1104,1104,1104,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.044000,0.206000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.038000,0.298000,1100,45056,42340,0,1100,1100,1100,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
0.047000,0.261000,1108,45056,42340,0,1108,1108,1108,0,0,0,0,0,235,47104,43440,0,235,235,235,0,0,0,0,0
