#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131
172.16.1.200,38420,20,0,19,12,452,6,452,0,0,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,1,1,1,1529416576198.919922,1529416590008.621094,13809.701000,63.964000,37.731000,13691.189000,13737.389000,36.459000,37.731000,1,1,0,0,0,0,0,12.798840,0.056000,41.999000,17.796546,8,64,64,40.041200,26.215000,75.919000,16.814783,10,64,64,0,0,0,0,0,0,1,1,11,1,1,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,38514,17,0,16,9,452,6,452,0,0,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1529416589209.250000,1529416603919.979980,14710.730000,53.942000,27.697000,14599.065000,14647.950000,26.571000,27.697000,1,1,0,0,0,0,0,14.454569,0.058000,46.855000,17.948316,8,64,64,37.754475,26.060000,73.691000,16.351158,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,38604,19,0,18,11,452,6,452,0,0,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,1,1,1,1529416606238.383057,1529416619041.482910,12803.100000,64.050000,37.619000,12692.010000,12740.009000,36.412000,37.619000,1,1,0,0,0,0,0,9.869627,0.075000,40.434000,18.018068,8,64,64,40.981690,26.412000,75.677000,18.146103,10,64,64,0,0,0,0,0,0,1,1,11,1,1,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,1,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,43846,10,0,9,4,1767,4,1767,0,0,0,1,1,172.16.1.1,50446,8,0,8,4,1906,2,1906,0,0,0,1,1,1529416620105.129883,1529416620314.449951,209.320000,36.119000,46.193000,121.469000,84.976000,36.119000,46.193000,1,1,0,0,8192,0,0,5.862683,0.018000,10.141000,4.503937,5,64,64,36.220594,36.101000,36.426000,0.141399,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,82.365000,84.976000,121.402000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,43842,10,0,9,4,1767,4,1767,0,0,0,1,1,172.16.1.1,50446,7,0,7,3,1906,2,1906,0,0,0,1,1,1529416620094.896973,1529416620314.493896,219.597000,27.027000,37.059000,117.925000,81.283000,26.262000,37.059000,1,1,0,0,8192,0,0,5.979080,0.029000,10.221000,4.389506,5,64,64,33.271168,26.233000,36.233000,4.766597,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,77.976000,81.283000,115.719000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,43844,10,0,9,4,1767,4,1767,0,0,0,1,1,172.16.1.1,50446,8,0,8,4,1906,2,1906,0,0,0,1,1,1529416620105.077881,1529416620314.616943,209.539000,36.107000,46.254000,125.166000,88.567000,36.107000,36.140000,1,1,0,0,8192,0,0,3.814524,0.033000,10.152000,4.420221,5,64,64,36.278593,36.070000,36.552000,0.217701,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,86.224000,88.567000,125.119000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,43840,11,0,10,4,6032,5,6032,0,0,0,1,1,172.16.1.1,50446,8,0,8,4,1906,2,1906,0,0,0,1,1,1529416620094.822998,1529416620315.502930,220.680000,27.039000,37.147000,131.794000,79.240000,26.172000,37.147000,1,1,0,0,8192,0,0,3.919322,0.053000,10.108000,4.311837,5,64,64,31.514212,26.112000,36.614000,5.612662,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,4265,17,47104,42340,0,4303,1,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,57344,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,76.140000,79.240000,115.854000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,37094,10,0,9,3,1767,5,1805,1,38,1,1,1,172.16.1.1,50995,10,0,10,6,1906,2,1906,0,0,0,1,1,1529416626057.135010,1529416626294.323975,237.189000,37.351000,48.321000,166.771000,102.020000,37.351000,47.426000,1,1,0,0,8192,0,0,12.175196,10.025000,18.555000,4.253049,4,64,64,26.990825,26.398000,27.304000,0.408753,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,55,343,0,0,1,0,1,0,0,0,0,1,1,11,1,2,1460,1018,888,51200,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,3,2,-,-,0,0,0,129.229000,102.020000,138.776000,0.000000,1730,0,-,-,0.0,0.0,-
172.16.1.200,37092,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50995,7,0,7,3,1906,2,1906,0,0,0,1,1,1529416626057.091064,1529416626294.367920,237.277000,47.096000,48.352000,143.098000,106.616000,37.440000,47.439000,1,1,0,0,8192,0,0,7.072459,0.343000,14.176000,6.231609,5,64,64,29.560761,26.444000,36.053000,4.397793,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,92.440000,106.616000,134.976000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,37090,10,0,9,4,1767,4,1767,0,0,0,1,1,172.16.1.1,50995,7,0,7,3,1906,2,1906,0,0,0,1,1,1529416626056.985107,1529416626304.657959,247.673000,46.534000,47.559000,130.757000,94.401000,37.581000,47.559000,1,1,0,0,8192,0,0,5.849883,0.202000,10.144000,4.874968,5,64,64,31.752706,26.580000,36.735000,5.493608,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,86.546000,94.401000,130.663000,0.000000,1713,0,-,-,0.0,0.0,-
