c_rtt_min:46,s_rtt_min:53,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106
0.088000,26.256000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.073000,26.160000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.012000,26.149000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.023000,26.061000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.020000,26.109000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.013000,26.014000,17,47104,42340,0,4303,17,343,0,0,0,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0
0.029000,25.695000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.024000,25.963000,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
0.011000,25.719000,38,47104,42340,0,13070,38,343,0,0,1,0,1,888,88064,43440,0,1018,1,888,0,0,0,0,0
0.020000,25.698000,17,47104,42340,0,1369,1,343,0,0,0,0,0,888,49152,43440,0,1018,888,888,0,0,0,0,0
0.054000,25.935000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.059000,25.964000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.053000,25.826000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.076000,26.121000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.008000,26.016000,38,47104,42340,0,95568,38,343,12,265,535,0,21,888,354304,43440,0,1018,888,888,0,0,0,0,0
0.008000,26.052000,38,47104,42340,0,5929560,38,343,90,211,1443,0,1661,888,16777216,43440,0,1018,888,888,0,0,0,0,0
0.007000,25.772000,38,47104,42340,0,131768,38,343,21,261,483,0,32,888,630784,43440,0,1018,888,888,0,0,0,0,0
0.007000,25.776000,38,47104,42340,0,115840,38,343,24,273,572,0,60,888,337920,43440,0,1018,888,888,0,0,0,0,0
0.048000,26.003000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,1,0,0,0
0.070000,26.110000,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0
0.029000,0.267000,115,45056,42340,0,446,115,446,0,0,0,0,0,13,45056,43440,0,296,13,296,0,0,0,0,0
0.016000,25.743000,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0
