#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 33872 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 2944 10 2944 0 0 0 1 1 1529424015236.462891 1529424028530.060059 13293.597000 53.945000 27.600000 13208.782000 13240.915000 26.591000 27.600000 1 1 0 0 0 0 0 9.543381 0.054000 38.849000 17.461045 8 64 64 33.156335 25.935000 66.075000 15.438067 11 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 33882 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 2944 10 2944 0 0 0 1 1 1529424019213.822998 1529424032453.235107 13239.412000 53.812000 27.467000 13156.305000 13186.855000 26.395000 27.467000 1 1 0 0 0 0 0 9.696754 0.059000 39.985000 17.735712 8 64 64 33.038336 25.964000 64.930000 15.192519 11 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 34070 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 2944 10 2944 0 0 0 1 1 1529424045269.535889 1529424061831.615967 16562.080000 53.281000 27.311000 16480.519000 16509.719000 25.981000 27.311000 1 1 0 0 0 0 0 9.724003 0.053000 38.304000 17.412619 8 64 64 32.837520 25.826000 64.280000 15.310648 11 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 34072 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 2944 10 2944 0 0 0 1 1 1529424049266.654053 1529424062629.197998 13362.544000 53.857000 27.476000 13279.674000 13309.779000 26.380000 27.476000 1 1 0 0 0 0 0 9.764003 0.076000 40.075000 17.881592 8 64 64 32.962973 26.121000 63.706000 14.900776 11 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 60926 11807 0 11806 2 48267934 11804 48282414 8 14480 825 1 0 172.16.1.1 50856 11376 1 11375 11371 1906 2 1906 0 0 0 1 1 1529424025039.263916 1529424082864.315918 57825.052000 26.856000 27.267000 57825.026000 64.324000 26.059000 26.893000 1 1 0 0 8192 0 0 0.056187 0.008000 25.995000 0.796815 8369 64 64 27.184094 26.016000 28.788000 1.436058 3 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 26064 38 47104 42340 0 95568 38 343 12 265 535 0 21 0 0 0 0 1 1 11 1 2379 1460 1018 888 354304 43440 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 229 2 - - 0 0 0 59.829000 64.324000 91.075000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 60924 20415 0 20414 2 86884646 20412 89076918 755 2192272 2650 1 0 172.16.1.1 50856 19133 1 19132 19128 1906 2 1906 0 0 0 1 1 1529424026036.662109 1529424082871.232910 56834.571000 26.454000 27.061000 56834.548000 57.920000 26.103000 26.471000 1 1 0 0 8192 0 0 0.098510 0.008000 39.703000 1.180538 6307 64 64 26.216459 26.052000 26.478000 0.228441 3 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 44888 38 47104 42340 0 5929560 38 343 90 211 1443 0 1661 0 0 0 0 1 1 11 1 12324 1460 1018 888 16777216 43440 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 13 2 - - 0 0 0 55.244000 57.920000 84.398000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 60928 9842 0 9841 2 43459126 9839 43482294 14 23168 783 1 0 172.16.1.1 50856 9560 1 9559 9555 1906 2 1906 0 0 0 1 1 1529424025039.322998 1529424082878.173096 57838.850000 26.258000 26.741000 57838.816000 59.286000 25.789000 26.294000 1 1 0 0 8192 0 0 0.037935 0.007000 24.270000 0.436983 6764 64 64 27.137095 25.772000 29.235000 1.843601 3 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 26064 38 47104 42340 0 131768 38 343 21 261 483 0 32 0 0 0 0 1 1 11 1 2210 1460 1018 888 630784 43440 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 175 2 - - 0 0 0 56.028000 59.286000 85.693000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 60930 10779 0 10778 2 45762894 10776 45784614 13 21720 916 1 0 172.16.1.1 50856 10305 1 10304 10300 1906 2 1906 0 0 0 1 1 1529424025039.364014 1529424082879.608887 57840.245000 26.805000 27.537000 57840.204000 64.205000 25.794000 26.817000 1 1 0 0 8192 0 0 0.033969 0.007000 8.518000 0.123429 7088 64 64 26.897103 25.776000 28.434000 1.376513 3 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 26064 38 47104 42340 0 115840 38 343 24 273 572 0 60 0 0 0 0 1 1 11 1 2574 1460 1018 888 337920 43440 0 1018 888 888 0 0 0 0 0 0 0 0 0 0 0 --- 254 2 - - 0 0 0 59.789000 64.205000 90.689000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 34222 18 0 17 10 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 2944 10 2944 0 0 1 1 1 1529424075257.521973 1529424088386.924072 13129.402000 53.534000 27.437000 13016.587000 13076.781000 26.051000 27.437000 1 1 0 0 0 0 0 9.469757 0.048000 37.984000 17.408762 8 64 64 33.650863 26.003000 64.999000 15.888112 10 64 64 0 0 0 0 0 0 1 1 11 1 1 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 1 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 34224 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 2944 10 2944 0 0 0 1 1 1529424079264.428955 1529424093054.643066 13790.214000 53.905000 27.564000 13705.991000 13737.338000 26.327000 27.564000 1 1 0 0 0 0 0 9.595880 0.070000 38.731000 17.564485 8 64 64 33.120517 26.110000 65.558000 15.285704 11 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
