#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131
172.16.1.200,38382,17,0,16,9,452,6,452,0,0,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1529354176214.923096,1529354192514.134033,16299.211000,53.986000,27.847000,16219.238000,16246.755000,26.386000,27.847000,1,1,0,0,0,0,0,9.825252,0.061000,39.823000,17.941577,8,64,64,33.109244,26.000000,64.873000,15.424502,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,38384,17,0,16,9,452,6,452,0,0,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1529354178206.123047,1529354193226.926025,15020.803000,53.561000,27.406000,14940.047000,14968.291000,26.260000,27.406000,1,1,0,0,0,0,0,9.763878,0.085000,39.691000,17.846548,8,64,64,33.220516,26.018000,65.912000,15.646155,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1448,16,45056,43440,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,6,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,35800,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50993,7,0,7,3,1906,2,1906,0,0,0,1,1,1529354214850.774902,1529354215009.747070,158.972000,27.092000,27.957000,94.141000,67.689000,25.955000,27.133000,1,1,0,0,8192,0,0,1.276174,0.014000,6.200000,2.752633,5,64,64,26.130347,25.941000,26.411000,0.199165,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,61.489000,67.689000,94.100000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,35794,10,0,9,3,6032,5,6032,0,0,0,1,1,172.16.1.1,50993,7,0,7,3,1906,2,1906,0,0,0,1,1,1529354214850.427979,1529354215009.966064,159.538000,26.781000,27.268000,94.495000,59.099000,26.212000,26.836000,1,1,0,0,8192,0,0,7.000883,0.023000,39.021000,15.725233,6,64,64,26.131597,26.022000,26.317000,0.137841,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,4265,17,47104,42340,0,4303,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,57344,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,56.297000,59.099000,85.416000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,35796,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50993,7,0,7,3,1906,2,1906,0,0,0,1,1,1529354214850.562012,1529354215009.999023,159.437000,26.714000,27.562000,92.422000,65.786000,26.144000,26.745000,1,1,0,0,8192,0,0,0.864183,0.010000,4.142000,1.832823,5,64,64,26.181345,26.031000,26.422000,0.168169,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,61.644000,65.786000,92.208000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,35798,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50993,7,0,7,3,1906,2,1906,0,0,0,1,1,1529354214850.736084,1529354215010.008057,159.272000,27.062000,28.032000,92.310000,65.666000,26.289000,27.119000,1,1,0,0,8192,0,0,0.863383,0.013000,4.148000,1.836354,5,64,64,26.312592,26.102000,26.626000,0.221888,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,61.518000,65.666000,92.292000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,38534,19,0,18,9,452,8,516,1,64,0,1,1,172.16.1.1,861,17,0,17,5,2944,10,2944,0,0,0,1,1,1529354206224.720947,1529354220610.883057,14386.162000,53.493000,27.415000,14307.567000,14333.699000,26.275000,27.415000,1,1,0,0,0,0,0,5.822060,0.040000,39.981000,15.062825,7,64,64,32.920610,25.834000,64.193000,15.158817,11,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,164,16,49152,42340,0,164,16,164,0,0,0,0,2,0,0,0,0,1,1,11,1,1,1460,1448,16,45056,43440,0,1480,16,64,0,0,0,0,0,0,0,0,0,0,0,---,7,9,-,-,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,-,-,0.0,0.0,-
172.16.1.200,59472,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50405,7,0,7,3,1906,2,1906,0,0,0,1,1,1529354222051.419922,1529354222426.305908,374.886000,26.644000,252.758000,310.044000,283.630000,26.053000,26.695000,1,1,0,0,8192,0,0,0.557789,0.025000,2.608000,1.146196,5,64,64,26.366591,26.013000,27.098000,0.511473,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,281.022000,283.630000,309.974000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,59474,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50405,7,0,7,3,1906,2,1906,0,0,0,1,1,1529354222051.468018,1529354222426.604980,375.137000,26.665000,27.665000,90.434000,63.709000,26.048000,26.695000,1,1,0,0,8192,0,0,0.866983,0.010000,4.177000,1.850668,5,64,64,26.106097,25.911000,26.404000,0.210867,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,59.532000,63.709000,90.113000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,59468,11,0,10,3,21862,6,21862,0,0,0,1,1,172.16.1.1,50405,9,0,9,5,1906,2,1906,0,0,0,1,1,1529354222051.145020,1529354222426.634033,375.489000,26.424000,27.092000,310.355000,59.057000,25.901000,26.458000,1,1,0,0,8192,0,0,5.991914,0.012000,38.618000,14.432160,7,64,64,26.012100,25.851000,26.330000,0.222223,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,13032,17,47104,42340,0,13070,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,88064,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,55.944000,59.057000,85.387000,0.000000,1713,0,-,-,0.0,0.0,-
