#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131
172.16.1.200,41942,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50060,8,0,8,4,1906,2,1906,0,0,0,1,1,1530295101400.781006,1530295102549.896973,1149.116000,26.932000,28.102000,1082.938000,64.987000,26.034000,26.963000,1,1,0,0,8192,0,0,7.978534,0.010000,43.506000,17.487198,6,64,64,26.207345,25.952000,26.851000,0.429694,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,60.722000,64.987000,91.838000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,41940,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50060,8,0,8,4,1906,2,1906,0,0,0,1,1,1530295101400.746094,1530295102549.930908,1149.185000,27.010000,28.101000,1082.915000,64.982000,26.052000,27.040000,1,1,0,0,8192,0,0,7.990700,0.012000,43.576000,17.515175,6,64,64,26.202845,25.870000,26.837000,0.431528,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,60.721000,64.982000,91.819000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,41938,11,0,10,3,21862,6,21862,0,0,0,1,1,172.16.1.1,50060,9,0,9,5,1906,2,1906,0,0,0,1,1,1530295101400.679932,1530295102550.154053,1149.474000,26.958000,27.531000,1083.070000,59.656000,26.061000,27.009000,1,1,0,0,8192,0,0,5.657348,0.012000,36.427000,13.612276,7,64,64,26.111097,25.943000,26.325000,0.168775,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,13032,17,47104,42340,0,13070,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,88064,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,56.677000,59.656000,85.981000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,51870,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50621,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295102451.368896,1530295102610.564941,159.196000,26.762000,27.865000,94.401000,67.702000,25.820000,26.793000,1,1,0,0,8192,0,0,1.283774,0.029000,6.161000,2.727032,5,64,64,25.903602,25.652000,26.444000,0.364302,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,61.541000,67.702000,94.146000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,51868,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50621,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295102451.145996,1530295102610.592041,159.446000,27.068000,28.060000,94.619000,67.885000,25.838000,27.096000,1,1,0,0,8192,0,0,1.279774,0.028000,6.158000,2.727427,5,64,64,25.900852,25.664000,26.431000,0.357734,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,61.727000,67.885000,94.316000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,51864,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50621,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295102450.946045,1530295102610.606934,159.661000,27.101000,27.594000,94.811000,68.112000,26.073000,27.173000,1,1,0,0,8192,0,0,1.284174,0.028000,6.232000,2.765971,5,64,64,26.120097,25.888000,26.667000,0.368105,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,61.880000,68.112000,94.779000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,51866,10,0,9,3,9872,5,9872,0,0,0,1,1,172.16.1.1,50621,8,0,8,4,1906,2,1906,0,0,0,1,1,1530295102451.087891,1530295102610.614990,159.527000,26.149000,26.842000,94.766000,58.910000,25.833000,26.185000,1,1,0,0,8192,0,0,6.949718,0.014000,38.308000,15.416364,6,64,64,25.808105,25.571000,26.136000,0.236941,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,8105,17,47104,42340,0,8143,17,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,63488,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,55.652000,58.910000,85.046000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,36156,11,0,9,4,1767,4,1767,1,0,0,2,1,172.16.1.1,50113,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295102012.782959,1530295103161.759033,1148.976000,1025.580000,1026.052000,1082.437000,1056.241000,1025.188000,1025.615000,1,1,0,0,8192,0,0,200.357793,0.032000,999.373000,446.661889,5,64,64,25.910102,25.815000,26.162000,0.168161,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,86712320,42340,0,1369,1,343,0,0,0,0,0,0,1,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,1053.955000,1056.241000,1082.403000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,36154,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50113,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295102012.583984,1530295103162.001953,1149.418000,27.079000,28.083000,92.399000,65.971000,26.188000,27.112000,1,1,0,0,8192,0,0,1.134777,0.012000,5.489000,2.434222,5,64,64,26.071598,25.903000,26.301000,0.181772,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,60.482000,65.971000,92.272000,0.000000,1713,0,-,-,0.0,0.0,-
172.16.1.200,36160,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50113,7,0,7,3,1906,2,1906,0,0,0,1,1,1530295102012.864014,1530295103162.014893,1149.151000,26.524000,27.397000,92.146000,65.660000,25.817000,26.545000,1,1,0,0,8192,0,0,1.515570,0.009000,7.506000,3.348742,5,64,64,25.857354,25.730000,26.088000,0.157624,4,64,64,0,0,0,0,0,0,1,1,11,1,0,1460,1369,17,47104,42340,0,1369,38,343,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1460,1018,888,49152,43440,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,58.154000,65.660000,91.748000,0.000000,1713,0,-,-,0.0,0.0,-
