#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130 http_hostname:131
172.16.1.200 39524 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 18 0 18 6 3072 10 3072 0 0 0 1 1 1529372197203.206055 1529372209942.559082 12739.353000 84.928000 27.933000 12659.050000 12686.663000 26.359000 27.933000 1 1 0 0 0 0 0 9.943626 0.073000 39.563000 18.132959 8 64 64 33.022245 25.985000 64.723000 15.080361 11 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 1 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 39666 17 0 16 9 452 6 452 0 0 0 1 1 172.16.1.1 861 17 0 17 5 3072 10 3072 0 0 0 1 1 1529372227203.739014 1529372240082.779053 12879.040000 53.877000 27.717000 12798.481000 12826.280000 26.473000 27.717000 1 1 0 0 0 0 0 9.384258 0.071000 37.635000 17.140903 8 64 64 29.688366 25.968000 64.258000 11.466511 11 64 64 0 0 0 0 0 0 1 1 11 1 1 1460 164 16 49152 42340 0 164 16 164 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1448 16 45056 43440 0 1480 16 64 0 0 0 0 0 0 0 0 0 0 0 --- 6 9 - - 0 0 0 0.000000 0.000000 0.000000 0.000000 0 0 - - 0.0 0.0 -
172.16.1.200 48030 10 0 9 4 1767 4 1767 0 0 0 1 1 172.16.1.1 50807 7 0 7 3 1906 2 1906 0 0 0 1 1 1529372253480.844971 1529372253642.968994 162.124000 27.118000 28.706000 93.162000 66.527000 26.448000 27.130000 1 1 0 0 8192 0 0 0.930581 0.011000 4.488000 1.989061 5 64 64 26.211845 25.977000 26.416000 0.232770 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 62.039000 66.527000 92.936000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 48034 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50807 7 0 7 3 1906 2 1906 0 0 0 1 1 1529372253480.919922 1529372253642.992920 162.073000 27.525000 28.672000 95.416000 68.830000 26.533000 27.536000 1 1 0 0 8192 0 0 1.386572 0.011000 6.811000 3.032370 5 64 64 26.408340 26.258000 26.535000 0.134974 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 62.019000 68.830000 95.365000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 48032 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50807 7 0 7 3 1906 2 1906 0 0 0 1 1 1529372253480.895020 1529372253643.012939 162.118000 27.501000 28.714000 93.118000 66.526000 26.576000 27.523000 1 1 0 0 8192 0 0 0.939581 0.015000 4.491000 1.985913 5 64 64 26.400090 26.216000 26.568000 0.189880 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 62.035000 66.526000 93.094000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 48028 10 0 9 3 6032 5 6032 0 0 0 1 1 172.16.1.1 50807 8 0 8 4 1906 2 1906 0 0 0 1 1 1529372253480.773926 1529372253643.020996 162.247000 27.119000 27.773000 95.678000 59.909000 26.615000 27.172000 1 1 0 0 8192 0 0 7.183714 0.021000 39.672000 15.967792 6 64 64 26.257344 25.985000 26.562000 0.265911 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 4265 17 47104 42340 0 4303 17 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 57344 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 5 2 - - 0 0 0 56.650000 59.909000 86.301000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 42940 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50127 7 0 7 3 1906 2 1906 0 0 0 1 1 1529372260283.687988 1529372260470.810059 187.122000 27.017000 28.605000 103.851000 77.110000 26.023000 27.028000 1 1 0 0 8192 0 0 3.012140 0.011000 14.730000 6.551357 5 64 64 28.490538 25.732000 35.617000 4.764554 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 62.380000 77.110000 103.718000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 42938 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50127 7 0 7 3 1906 2 1906 0 0 0 1 1 1529372260283.659912 1529372260470.832031 187.172000 27.025000 28.244000 103.827000 77.115000 26.043000 27.036000 1 1 0 0 8192 0 0 3.018340 0.011000 14.729000 6.547565 5 64 64 28.461288 25.729000 35.532000 4.725927 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 62.386000 77.115000 103.677000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 42936 9 0 8 3 1767 4 1767 0 0 0 1 1 172.16.1.1 50127 7 0 7 3 1906 2 1906 0 0 0 1 1 1529372260283.625977 1529372260470.842041 187.216000 27.028000 27.898000 103.836000 77.120000 26.061000 27.049000 1 1 0 0 8192 0 0 3.018940 0.021000 14.716000 6.539908 5 64 64 28.430789 25.756000 35.418000 4.668577 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 1369 17 47104 42340 0 1369 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 49152 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 62.404000 77.120000 103.646000 0.000000 1713 0 - - 0.0 0.0 -
172.16.1.200 42934 13 0 12 3 21862 8 21862 0 0 0 1 1 172.16.1.1 50127 11 0 11 7 1906 2 1906 0 0 0 1 1 1529372260283.285889 1529372260470.948975 187.663000 26.744000 27.794000 112.693000 59.935000 26.350000 26.771000 1 1 0 0 8192 0 0 0.365218 0.011000 3.110000 1.029335 9 64 64 28.539537 26.006000 35.427000 4.594456 4 64 64 0 0 0 0 0 0 1 1 11 1 0 1460 5792 38 47104 42340 0 5792 38 343 0 0 0 0 0 0 0 0 0 1 1 11 1 0 1460 1018 888 88064 43440 0 1018 1 888 0 0 0 0 0 0 0 0 0 0 0 --- 4 2 - - 0 0 0 56.825000 59.935000 86.350000 0.000000 1713 0 - - 0.0 0.0 -
