164,16,20480,14600,0,164,16,164,0,10.417495,7.39166,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,1139576,24,13056,203,0.341555,0.013999,520,71,0,0,0,2395008,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.405245,7.204025,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.357496,7.202116,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.316121,7.309843,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,1640584,24,13056,161,0.265573,0.024999,482,95,0,0,0,2093824,14480,0,0,0,0,0,0,0,0,normal
65160,24,14720,14600,0,2567304,24,13056,324,0.321067,0.026499,903,355,0,0,0,2502144,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.253872,7.266116,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.351371,7.334752,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,434400,24,13056,230,0.334123,0.014499,351,33,0,0,0,2093824,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.231372,7.356206,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,38.537268,8.02362,0,0,0,1448,16,15616,14480,0,2720,16,64,0,0,0,0,normal
46336,24,14720,14600,0,175208,24,13056,18,0.16649,0.020999,55,13,0,0,0,1227904,14480,0,0,0,0,0,0,0,0,normal
65160,24,14720,14600,0,673320,24,13056,121,0.205701,0.016499,460,244,0,0,0,1581312,14480,0,0,0,0,0,0,0,0,normal
65160,24,14720,14600,0,1207632,24,13056,333,0.32987,0.018499,656,435,0,0,0,2503168,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.347246,7.297297,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,501008,24,13056,202,0.361394,0.016499,535,214,0,0,0,2247296,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.456869,7.893921,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,1201840,24,13056,318,0.365731,0.017499,1265,305,0,0,0,2337152,14480,0,0,0,0,0,0,0,0,normal
65160,24,14720,14600,0,905000,24,13056,161,0.40099,0.019499,242,445,0,0,0,1992448,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.42612,7.317297,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
7240,24,14720,14600,0,17376,24,13056,0,0.521798,0.016499,0,0,0,0,0,92672,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.525368,7.258298,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,1216320,24,13056,358,0.395085,0.010499,1670,699,0,0,0,2088064,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.42487,7.203207,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,8,14720,14600,0,912240,24,13056,606,0.337701,0.022499,842,788,0,0,0,2276352,14480,0,0,0,0,0,0,0,0,normal
65160,880,14720,14600,0,347520,1448,0,23,0.300756,0.018499,26,26,0,0,0,1413248,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.291871,7.276934,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,1041112,24,13056,241,0.314534,0.012999,1017,198,0,0,0,2322688,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.372995,7.24857,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,582096,24,13056,83,0.296598,0.023999,358,0,0,0,0,1847680,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.318996,7.353024,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,918032,24,24,480,0.323697,0.019499,1205,504,0,0,0,2507904,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,11.541231,7.361297,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
65160,24,14720,14600,0,909344,24,13056,294,0.3193,0.018999,790,343,0,0,0,2018560,14480,0,0,0,0,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.356496,7.212025,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
164,16,20480,14600,0,164,16,164,0,10.546118,7.337479,0,0,0,1448,16,15616,14480,0,1480,16,64,0,0,0,0,normal
